Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,140.649994,141.75,140.00,140.630005,116900,140.630005
2017-02-02,138.399994,140.919998,138.119995,140.070007,174800,140.070007
2017-02-01,138.380005,139.25,137.259995,138.399994,148600,138.399994
2017-01-31,138.199997,138.949997,137.070007,138.389999,225100,138.389999
2017-01-30,141.009995,141.100006,138.399994,138.490005,182400,138.490005
2017-01-27,142.289993,142.639999,141.00,141.389999,92600,141.389999
2017-01-26,142.339996,143.149994,141.979996,142.300003,106700,142.300003
2017-01-25,142.399994,142.800003,141.539993,142.369995,155700,142.369995
2017-01-24,141.820007,142.669998,141.399994,142.399994,166500,142.399994
2017-01-23,142.479996,143.240005,141.020004,141.970001,147400,141.970001
2017-01-20,142.809998,143.899994,141.389999,142.649994,155600,142.649994
2017-01-19,142.160004,142.539993,140.389999,142.169998,154200,142.169998
2017-01-18,143.199997,143.369995,141.679993,142.020004,252200,142.020004
2017-01-17,144.229996,144.860001,143.089996,143.339996,172300,143.339996
2017-01-16,142.50,144.070007,142.50,143.850006,80100,143.850006
2017-01-13,142.779999,143.830002,142.330002,142.559998,119600,142.559998
2017-01-12,143.00,143.240005,141.830002,142.449997,136300,142.449997
2017-01-11,141.449997,143.940002,141.199997,143.289993,168300,143.289993
2017-01-10,140.110001,142.669998,140.110001,141.509995,170100,141.509995
2017-01-09,140.779999,141.399994,140.00,140.059998,95600,140.059998
2017-01-06,140.940002,141.00,140.360001,140.619995,103100,140.619995
2017-01-05,140.970001,141.649994,139.820007,140.869995,167400,140.869995
2017-01-04,140.869995,141.889999,140.130005,141.399994,188500,141.399994
2017-01-03,140.009995,140.740005,139.100006,140.509995,135900,140.509995
2016-12-30,140.449997,140.850006,138.75,139.270004,104900,139.270004
2016-12-29,140.259995,141.020004,140.25,140.449997,70200,140.449997
2016-12-28,139.130005,140.789993,138.710007,140.410004,127400,140.410004
2016-12-23,139.190002,140.00,139.00,139.320007,64500,139.320007
2016-12-22,139.869995,140.119995,138.059998,138.899994,216900,138.899994
2016-12-21,139.869995,140.820007,139.600006,140.179993,93900,140.179993
2016-12-20,140.509995,140.75,138.910004,139.850006,197700,139.850006
2016-12-19,141.300003,142.350006,140.089996,140.270004,151100,140.270004
2016-12-16,142.570007,143.240005,140.410004,141.259995,671400,141.259995
2016-12-15,141.979996,143.039993,141.550003,141.990005,163500,141.990005
2016-12-14,142.830002,142.830002,141.600006,141.949997,146900,141.949997
2016-12-13,142.979996,144.910004,142.759995,142.830002,144600,142.830002
2016-12-12,142.75,143.490005,141.75,142.529999,124500,142.529999
2016-12-09,143.110001,143.559998,141.759995,142.570007,171500,142.570007
2016-12-08,141.559998,144.380005,141.050003,143.160004,198200,143.160004
2016-12-07,139.50,142.449997,139.470001,141.699997,234900,141.699997
2016-12-06,139.690002,140.009995,137.979996,139.449997,201700,139.449997
2016-12-05,140.289993,140.619995,139.419998,139.449997,170500,139.449997
2016-12-02,139.869995,141.600006,139.600006,139.820007,136900,139.820007
2016-12-01,139.929993,140.929993,139.809998,140.089996,120600,140.089996
2016-11-30,142.009995,142.039993,139.149994,139.919998,261600,139.919998
2016-11-29,141.509995,142.899994,141.240005,142.110001,151500,142.110001
2016-11-28,142.660004,142.949997,140.899994,141.240005,202900,141.240005
2016-11-25,142.130005,142.979996,140.270004,142.570007,141600,142.570007
