Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,3.83,3.90,3.78,3.89,4386900,3.89
2017-01-20,3.71,3.82,3.64,3.76,7137700,3.76
2017-01-19,3.62,3.71,3.55,3.66,6589600,3.66
2017-01-18,3.76,3.77,3.61,3.67,5140900,3.67
2017-01-17,3.77,3.82,3.73,3.75,6423300,3.75
2017-01-16,3.68,3.70,3.64,3.68,1891700,3.68
2017-01-13,3.57,3.65,3.49,3.64,6482100,3.64
2017-01-12,3.70,3.75,3.56,3.61,6740400,3.61
2017-01-11,3.63,3.70,3.51,3.63,8585200,3.63
2017-01-10,3.60,3.70,3.60,3.64,7224300,3.64
2017-01-09,3.66,3.71,3.55,3.57,8227400,3.57
2017-01-06,3.58,3.70,3.47,3.56,11437400,3.56
2017-01-05,3.45,3.72,3.44,3.68,16209900,3.68
2017-01-04,3.44,3.45,3.32,3.36,7361500,3.36
2017-01-03,3.24,3.39,3.20,3.39,7465100,3.39
2016-12-30,3.44,3.47,3.17,3.19,7156800,3.19
2016-12-29,3.12,3.41,3.12,3.41,7716000,3.41
2016-12-28,2.92,3.06,2.91,3.06,5202000,3.06
2016-12-23,2.89,2.91,2.83,2.86,3585200,2.86
2016-12-22,2.83,2.90,2.81,2.88,2467800,2.88
2016-12-21,2.92,2.93,2.83,2.84,2757100,2.84
2016-12-20,2.85,2.93,2.80,2.90,4157400,2.90
2016-12-19,2.95,3.00,2.84,2.91,4131900,2.91
2016-12-16,2.78,2.91,2.74,2.89,6687000,2.89
2016-12-15,2.89,2.89,2.69,2.74,11118300,2.74
2016-12-14,3.18,3.25,2.98,2.98,8304800,2.98
2016-12-13,3.11,3.17,3.06,3.14,4644300,3.14
2016-12-12,3.19,3.23,3.10,3.11,4545000,3.11
2016-12-09,3.33,3.36,3.16,3.16,6648300,3.16
2016-12-08,3.37,3.41,3.31,3.38,4229100,3.38
2016-12-07,3.39,3.50,3.36,3.37,7251900,3.37
2016-12-06,3.26,3.35,3.26,3.32,3950200,3.32
2016-12-05,3.23,3.31,3.15,3.27,7568900,3.27
2016-12-02,3.26,3.34,3.26,3.27,5027100,3.27
2016-12-01,3.21,3.33,3.16,3.21,7064400,3.21
2016-11-30,3.28,3.28,3.21,3.25,4955800,3.25
2016-11-29,3.21,3.33,3.20,3.32,4421300,3.32
2016-11-28,3.17,3.30,3.13,3.29,4343200,3.29
2016-11-25,3.14,3.17,3.11,3.13,3138000,3.13
2016-11-24,3.11,3.17,3.11,3.12,2005200,3.12
2016-11-23,3.17,3.24,3.10,3.14,7817900,3.14
2016-11-22,3.33,3.35,3.20,3.34,5554000,3.34
2016-11-21,3.28,3.32,3.24,3.28,5911800,3.28
2016-11-18,3.18,3.26,3.13,3.22,8413900,3.22
2016-11-17,3.36,3.45,3.16,3.26,8025600,3.26
2016-11-16,3.45,3.47,3.30,3.35,5931700,3.35
2016-11-15,3.26,3.45,3.23,3.43,8603800,3.43
2016-11-14,3.11,3.39,3.02,3.25,11551700,3.25
2016-11-11,3.40,3.45,3.12,3.17,12565900,3.17
2016-11-10,3.66,3.69,3.40,3.44,13945000,3.44
2016-11-09,3.89,3.90,3.58,3.68,15646300,3.68
2016-11-08,3.68,3.82,3.55,3.57,7354700,3.57
2016-11-07,3.70,3.73,3.59,3.67,5638600,3.67
2016-11-04,3.92,3.99,3.80,3.86,7928800,3.86
2016-11-03,3.83,4.07,3.77,3.92,8446200,3.92
2016-11-02,4.01,4.05,3.78,3.84,10077800,3.84
2016-11-01,3.98,4.02,3.88,3.91,7376200,3.91
2016-10-31,3.73,3.88,3.67,3.88,6220100,3.88
2016-10-28,3.66,3.81,3.63,3.71,7375100,3.71
2016-10-27,3.73,3.77,3.63,3.65,5009600,3.65
2016-10-26,3.87,3.90,3.69,3.73,5095400,3.73
2016-10-25,3.67,3.92,3.64,3.90,7250000,3.90
2016-10-24,3.73,3.75,3.54,3.61,7579200,3.61
2016-10-21,3.63,3.73,3.62,3.69,3510000,3.69
2016-10-20,3.63,3.69,3.55,3.64,5725100,3.64
2016-10-19,3.62,3.64,3.55,3.59,6329400,3.59
2016-10-18,3.44,3.50,3.36,3.49,5238400,3.49
2016-10-17,3.28,3.37,3.28,3.35,3276900,3.35
2016-10-14,3.20,3.34,3.18,3.25,4135600,3.25
2016-10-13,3.16,3.35,3.13,3.29,5896000,3.29
2016-10-12,2.94,3.13,2.93,3.11,5362800,3.11
2016-10-11,3.00,3.02,2.92,2.93,4038800,2.93
2016-10-07,3.03,3.06,2.89,2.97,6024300,2.97
2016-10-06,2.89,3.00,2.84,2.92,6556300,2.92
2016-10-05,3.15,3.19,2.96,3.02,9231100,3.02
2016-10-04,3.27,3.28,3.09,3.09,8628700,3.09
2016-10-03,3.41,3.49,3.36,3.42,2697700,3.42
2016-09-30,3.57,3.60,3.43,3.44,4244400,3.44
2016-09-29,3.47,3.54,3.41,3.50,5282200,3.50
2016-09-28,3.42,3.53,3.28,3.51,13529600,3.51
2016-09-27,3.53,3.55,3.27,3.38,14634500,3.38
2016-09-26,3.86,3.92,3.81,3.83,4909800,3.83
2016-09-23,3.91,3.98,3.80,3.84,7297900,3.84
2016-09-22,4.06,4.08,3.90,3.94,6216200,3.94
2016-09-21,3.86,4.02,3.81,4.00,9195100,4.00
2016-09-20,3.72,3.80,3.66,3.78,4182700,3.78
2016-09-19,3.68,3.73,3.62,3.67,3736600,3.67
2016-09-16,3.50,3.65,3.47,3.59,8440200,3.59
2016-09-15,3.55,3.60,3.45,3.54,5017700,3.54
2016-09-14,3.55,3.66,3.53,3.57,4234400,3.57
2016-09-13,3.69,3.71,3.51,3.57,5445600,3.57
2016-09-12,3.43,3.75,3.42,3.72,9199700,3.72
2016-09-09,3.69,3.69,3.50,3.51,5995800,3.51
2016-09-08,3.75,3.81,3.70,3.75,4751000,3.75
2016-09-07,3.81,3.82,3.63,3.78,6367900,3.78
2016-09-06,3.75,3.81,3.71,3.81,6438000,3.81
2016-09-02,3.60,3.68,3.53,3.65,8073000,3.65
2016-09-01,3.28,3.53,3.24,3.48,9521100,3.48
2016-08-31,3.40,3.47,3.30,3.30,7865100,3.30
2016-08-30,3.68,3.75,3.42,3.45,8071800,3.45
2016-08-29,3.73,3.80,3.68,3.75,3666500,3.75
2016-08-26,3.92,4.05,3.69,3.76,11480500,3.76
2016-08-25,3.60,3.98,3.59,3.86,9090100,3.86
2016-08-24,3.91,3.91,3.62,3.66,7009300,3.66
2016-08-23,4.07,4.14,3.96,3.96,3068700,3.96
2016-08-22,4.16,4.23,4.01,4.04,5373700,4.04
2016-08-19,4.27,4.34,4.24,4.25,2791400,4.25
2016-08-18,4.32,4.40,4.29,4.32,4387600,4.32
2016-08-17,4.19,4.34,4.13,4.26,7136800,4.26
2016-08-16,4.32,4.37,4.24,4.24,6283900,4.24
2016-08-15,4.49,4.58,4.23,4.28,7219200,4.28
2016-08-12,4.53,4.63,4.41,4.49,6798400,4.49
2016-08-11,4.69,4.74,4.52,4.52,6263300,4.52
2016-08-10,4.68,4.74,4.61,4.64,10924300,4.64
2016-08-09,4.50,4.65,4.49,4.58,6832800,4.58
2016-08-08,4.37,4.53,4.36,4.50,9727000,4.50
2016-08-05,4.37,4.45,4.32,4.38,4846800,4.38
2016-08-04,4.34,4.49,4.30,4.41,7899500,4.41
2016-08-03,4.22,4.22,4.12,4.19,2457500,4.19
2016-08-02,4.25,4.28,4.20,4.24,4624800,4.24
2016-07-29,3.99,4.15,3.98,4.09,5588900,4.09
2016-07-28,3.96,3.99,3.85,3.95,4448500,3.95
2016-07-27,3.75,3.97,3.74,3.94,6738700,3.94
2016-07-26,3.64,3.72,3.60,3.67,2672600,3.67
2016-07-25,3.62,3.65,3.53,3.56,5207900,3.56
2016-07-22,3.69,3.73,3.63,3.69,2408800,3.69
2016-07-21,3.56,3.74,3.55,3.73,4384300,3.73
2016-07-20,3.67,3.68,3.52,3.54,7860100,3.54
2016-07-19,3.80,3.86,3.75,3.75,3483900,3.75
2016-07-18,3.84,3.86,3.75,3.81,4002000,3.81
2016-07-15,3.82,3.91,3.80,3.80,4744000,3.80
2016-07-14,3.78,3.94,3.77,3.87,7367500,3.87
2016-07-13,3.86,4.00,3.77,3.98,8603100,3.98
2016-07-12,3.94,3.95,3.75,3.81,8559200,3.81
2016-07-11,3.82,4.00,3.80,3.99,8684000,3.99
2016-07-08,3.61,3.90,3.58,3.89,6644200,3.89
2016-07-07,3.77,3.79,3.58,3.65,8464400,3.65
2016-07-06,3.60,3.81,3.60,3.81,12109500,3.81
2016-07-05,3.47,3.55,3.43,3.54,6243000,3.54
2016-07-04,3.35,3.52,3.34,3.44,5196500,3.44
2016-06-30,3.19,3.25,3.16,3.24,3885100,3.24
2016-06-29,3.25,3.25,3.19,3.20,2413300,3.20
2016-06-28,3.15,3.26,3.14,3.17,4720200,3.17
2016-06-27,3.12,3.28,3.11,3.28,12075600,3.28
2016-06-24,3.10,3.20,2.99,3.12,13516400,3.12
2016-06-23,2.80,2.82,2.76,2.78,2159000,2.78
2016-06-22,2.76,2.86,2.72,2.86,5686700,2.86
2016-06-21,2.80,2.84,2.77,2.77,2912400,2.77
2016-06-20,2.78,2.92,2.76,2.87,2437400,2.87
2016-06-17,2.86,2.94,2.75,2.86,5672400,2.86
2016-06-16,2.99,3.06,2.82,2.82,14270200,2.82
2016-06-15,2.78,2.87,2.75,2.87,7955600,2.87
2016-06-14,2.79,2.81,2.69,2.81,7784000,2.81
