Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,4.04,4.20,3.91,4.12,3263300,4.12
2017-01-25,4.16,4.36,4.01,4.10,6078100,4.10
2017-01-24,4.00,4.16,3.99,4.14,5115900,4.14
2017-01-23,3.77,4.04,3.72,3.99,8526400,3.99
2017-01-20,3.64,3.72,3.60,3.69,2716600,3.69
2017-01-19,3.63,3.63,3.54,3.59,2180500,3.59
2017-01-18,3.48,3.70,3.47,3.61,5021600,3.61
2017-01-17,3.38,3.52,3.30,3.47,3926500,3.47
2017-01-16,3.45,3.45,3.26,3.37,2250500,3.37
2017-01-13,3.05,3.43,3.01,3.35,5346800,3.35
2017-01-12,3.05,3.10,3.01,3.04,3803800,3.04
2017-01-11,3.01,3.05,2.96,3.00,2163500,3.00
2017-01-10,2.87,3.03,2.87,3.01,4637100,3.01
2017-01-09,2.78,2.86,2.76,2.81,2456200,2.81
2017-01-06,2.85,2.86,2.75,2.78,1561500,2.78
2017-01-05,2.87,2.94,2.84,2.89,2940600,2.89
2017-01-04,2.74,2.90,2.68,2.88,3287300,2.88
2017-01-03,2.61,2.72,2.59,2.72,2408900,2.72
2016-12-30,2.61,2.61,2.50,2.54,1520600,2.54
2016-12-29,2.53,2.61,2.49,2.59,1267300,2.59
2016-12-28,2.43,2.51,2.38,2.49,1591700,2.49
2016-12-23,2.39,2.42,2.35,2.40,962200,2.40
2016-12-22,2.42,2.45,2.36,2.36,1171800,2.36
2016-12-21,2.45,2.54,2.41,2.44,1589300,2.44
2016-12-20,2.31,2.56,2.25,2.47,4453400,2.47
2016-12-19,2.46,2.50,2.25,2.27,4568000,2.27
2016-12-16,2.70,2.70,2.51,2.54,3975600,2.54
2016-12-15,2.65,2.71,2.64,2.64,1879200,2.64
2016-12-14,2.82,2.83,2.69,2.71,2030200,2.71
2016-12-13,2.90,2.98,2.66,2.78,3697900,2.78
2016-12-12,2.83,2.93,2.77,2.84,4333800,2.84
2016-12-09,2.44,2.82,2.41,2.74,5972800,2.74
2016-12-08,2.33,2.35,2.29,2.35,752800,2.35
2016-12-07,2.35,2.38,2.31,2.34,855900,2.34
2016-12-06,2.41,2.42,2.31,2.36,686600,2.36
2016-12-05,2.30,2.43,2.30,2.41,3683700,2.41
2016-12-02,2.28,2.34,2.27,2.27,2047600,2.27
2016-12-01,2.37,2.38,2.26,2.27,2262300,2.27
2016-11-30,2.40,2.43,2.36,2.36,1938800,2.36
2016-11-29,2.35,2.44,2.33,2.42,1933400,2.42
2016-11-28,2.43,2.45,2.39,2.42,766000,2.42
2016-11-25,2.46,2.49,2.36,2.44,1214000,2.44
2016-11-24,2.49,2.51,2.46,2.46,2361100,2.46
