Date,Open,High,Low,Close,Volume,Adj Close
2017-01-25,7.35,7.36,7.04,7.12,2251400,7.12
2017-01-24,7.10,7.37,7.07,7.25,2270600,7.25
2017-01-23,7.27,7.30,7.01,7.04,1192100,7.04
2017-01-20,7.46,7.55,7.31,7.34,850600,7.34
2017-01-19,7.46,7.55,7.29,7.34,978000,7.34
2017-01-18,7.55,7.65,7.44,7.44,1621200,7.44
2017-01-17,7.70,7.77,7.53,7.58,1113400,7.58
2017-01-16,7.69,7.73,7.56,7.64,863900,7.64
2017-01-13,7.89,7.91,7.69,7.72,1976000,7.72
2017-01-12,7.99,8.16,7.75,7.96,6441700,7.96
2017-01-11,8.61,8.68,8.35,8.41,921000,8.41
2017-01-10,8.79,8.83,8.52,8.54,822200,8.54
2017-01-09,9.17,9.17,8.76,8.78,983000,8.78
2017-01-06,9.32,9.37,9.20,9.33,776900,9.33
2017-01-05,9.57,9.59,9.35,9.39,944100,9.39
2017-01-04,9.49,9.54,9.33,9.44,856100,9.44
2017-01-03,9.47,9.83,9.27,9.52,1282000,9.52
2016-12-30,9.12,9.37,9.12,9.23,757500,9.23
2016-12-29,9.20,9.26,9.10,9.21,642800,9.21
2016-12-28,9.28,9.43,9.15,9.18,814000,9.18
2016-12-23,9.02,9.28,9.01,9.26,899200,9.26
2016-12-22,9.32,9.36,9.06,9.09,1031400,9.09
2016-12-21,9.40,9.40,9.27,9.30,853100,9.30
2016-12-20,9.48,9.48,9.24,9.32,1193000,9.32
2016-12-19,9.30,9.37,9.20,9.34,997500,9.34
2016-12-16,9.22,9.43,9.22,9.33,1894600,9.33
2016-12-15,8.61,9.16,8.61,9.15,1975100,9.15
2016-12-14,8.80,9.10,8.74,8.85,2433200,8.85
2016-12-13,9.13,9.16,8.92,9.05,2364900,9.05
2016-12-12,9.49,9.79,8.75,8.91,4477400,8.91
2016-12-09,8.02,8.28,7.96,8.27,2204300,8.27
2016-12-08,7.88,7.98,7.77,7.89,2025600,7.89
2016-12-07,7.75,7.92,7.52,7.81,2126200,7.81
2016-12-06,7.52,7.89,7.47,7.86,1692200,7.86
2016-12-05,7.62,8.10,7.59,7.78,2040000,7.78
2016-12-02,7.53,7.75,7.14,7.45,4445200,7.45
2016-12-01,7.01,8.27,7.01,7.55,8852900,7.55
2016-11-30,6.40,6.91,6.32,6.79,6914100,6.79
2016-11-29,5.83,5.93,5.71,5.90,1560800,5.90
2016-11-28,6.25,6.25,6.00,6.01,958500,6.01
2016-11-25,6.33,6.38,6.15,6.16,730700,6.16
2016-11-24,6.38,6.45,6.32,6.41,491000,6.41
