Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,1.43,1.58,1.42,1.55,244300,1.55
2017-02-09,1.32,1.45,1.30,1.43,125400,1.43
2017-02-08,1.32,1.33,1.31,1.31,25800,1.31
2017-02-07,1.35,1.36,1.32,1.33,27900,1.33
2017-02-06,1.32,1.39,1.31,1.32,113200,1.32
2017-02-03,1.31,1.32,1.29,1.32,47000,1.32
2017-02-02,1.33,1.33,1.28,1.31,54000,1.31
2017-02-01,1.27,1.35,1.27,1.30,109000,1.30
2017-01-31,1.31,1.31,1.25,1.25,156600,1.25
2017-01-30,1.35,1.35,1.30,1.32,18100,1.32
2017-01-27,1.36,1.36,1.33,1.33,42500,1.33
2017-01-26,1.30,1.36,1.25,1.35,98800,1.35
2017-01-25,1.33,1.33,1.28,1.31,94900,1.31
2017-01-24,1.39,1.39,1.29,1.31,273900,1.31
2017-01-23,1.35,1.45,1.23,1.40,653300,1.40
2017-01-20,1.75,1.89,1.70,1.70,145000,1.70
2017-01-19,1.56,1.73,1.55,1.71,119700,1.71
2017-01-18,1.50,1.56,1.49,1.55,119100,1.55
2017-01-17,1.51,1.55,1.47,1.47,91400,1.47
2017-01-16,1.50,1.56,1.47,1.53,31100,1.53
2017-01-13,1.63,1.67,1.44,1.46,382900,1.46
2017-01-12,1.58,1.64,1.53,1.63,116900,1.63
2017-01-11,1.66,1.66,1.51,1.52,168400,1.52
2017-01-10,1.71,1.72,1.59,1.61,144200,1.61
2017-01-09,1.82,1.82,1.63,1.69,184600,1.69
2017-01-06,1.71,1.78,1.66,1.76,62500,1.76
2017-01-05,1.78,1.84,1.65,1.65,124200,1.65
2017-01-04,1.77,1.80,1.70,1.73,66200,1.73
2017-01-03,1.90,1.93,1.70,1.76,118800,1.76
2016-12-30,1.91,1.91,1.81,1.81,78300,1.81
2016-12-29,1.86,1.96,1.72,1.96,167900,1.96
2016-12-28,1.93,2.06,1.87,1.93,121800,1.93
2016-12-23,1.64,1.90,1.62,1.83,44700,1.83
2016-12-22,1.67,1.67,1.52,1.54,20100,1.54
2016-12-21,1.86,1.86,1.55,1.60,90500,1.60
2016-12-20,1.99,1.99,1.80,1.80,367900,1.80
2016-12-19,2.10,2.10,1.79,1.96,230200,1.96
2016-12-16,1.39,2.38,1.39,2.03,627200,2.03
2016-12-15,1.34,1.36,1.33,1.36,25500,1.36
2016-12-14,1.35,1.36,1.32,1.35,34600,1.35
2016-12-13,1.49,1.49,1.36,1.37,63600,1.37
2016-12-12,1.42,1.58,1.37,1.44,63500,1.44
2016-12-09,1.28,1.38,1.27,1.37,55700,1.37
2016-12-08,1.27,1.28,1.23,1.24,24800,1.24
2016-12-07,1.21,1.25,1.21,1.25,19800,1.25
2016-12-06,1.21,1.23,1.20,1.21,7400,1.21
2016-12-05,1.23,1.24,1.21,1.21,4900,1.21
2016-12-02,1.22,1.22,1.21,1.21,16500,1.21
2016-12-01,1.28,1.28,1.20,1.22,27800,1.22
2016-11-30,1.25,1.27,1.24,1.24,25000,1.24
2016-11-29,1.30,1.30,1.25,1.25,2200,1.25
2016-11-28,1.30,1.33,1.28,1.28,18400,1.28
2016-11-25,1.32,1.32,1.29,1.32,6600,1.32
2016-11-24,1.28,1.30,1.23,1.27,7800,1.27
2016-11-23,1.30,1.34,1.28,1.30,13000,1.30
2016-11-22,1.30,1.34,1.23,1.31,23200,1.31
2016-11-21,1.25,1.30,1.22,1.30,33000,1.30
2016-11-18,1.32,1.32,1.22,1.22,25700,1.22
2016-11-17,1.25,1.30,1.21,1.26,73700,1.26
2016-11-16,1.50,1.50,1.21,1.23,74600,1.23
2016-11-15,1.29,1.29,1.22,1.25,30200,1.25
2016-11-14,1.45,1.45,1.24,1.28,109800,1.28
2016-11-11,1.41,1.55,1.31,1.31,60000,1.31
2016-11-10,1.27,1.42,1.27,1.41,62200,1.41
2016-11-09,1.18,1.28,1.18,1.27,24200,1.27
2016-11-08,1.36,1.36,1.19,1.19,58500,1.19
2016-11-07,1.50,1.50,1.30,1.34,92800,1.34
2016-11-04,1.20,1.40,1.14,1.30,67800,1.30
2016-11-03,1.26,1.34,1.12,1.14,56300,1.14
2016-11-02,1.41,1.46,1.21,1.28,60600,1.28
2016-11-01,1.47,1.55,1.32,1.35,60300,1.35
2016-10-31,1.50,1.71,1.36,1.36,103200,1.36
2016-10-28,2.09,2.09,1.42,1.42,314300,1.42
2016-10-27,2.10,2.10,1.99,2.01,28900,2.01
2016-10-26,2.30,2.30,2.05,2.05,59500,2.05
2016-10-25,2.35,2.41,2.30,2.35,11000,2.35
2016-10-24,2.46,2.50,2.34,2.37,101300,2.37
2016-10-21,2.50,2.59,2.42,2.42,51300,2.42
2016-10-20,2.65,2.71,2.45,2.50,57900,2.50
2016-10-19,2.68,2.69,2.45,2.60,54700,2.60
2016-10-18,2.86,2.86,2.59,2.64,116000,2.64
2016-10-17,2.95,2.99,2.77,2.85,68200,2.85
2016-10-14,3.30,3.30,2.88,2.92,84500,2.92
2016-10-13,3.45,3.45,2.82,3.20,153200,3.20
2016-10-12,3.12,4.02,3.12,3.70,51600,3.70
2016-10-11,3.05,3.07,2.97,3.07,3100,3.07
2016-10-07,2.99,3.15,2.98,3.05,2100,3.05
2016-10-06,3.04,3.21,3.04,3.13,14000,3.13
2016-10-05,3.03,3.04,3.03,3.03,33100,3.03
2016-10-04,3.00,3.00,3.00,3.00,1800,3.00
2016-10-03,2.97,3.00,2.95,3.00,3600,3.00
2016-09-30,2.94,2.96,2.87,2.96,600,2.96
2016-09-29,2.86,2.93,2.86,2.90,18400,2.90
2016-09-28,2.90,2.97,2.90,2.90,5600,2.90
2016-09-27,2.90,2.98,2.90,2.98,5500,2.98
2016-09-26,2.94,2.98,2.94,2.97,1000,2.97
2016-09-23,2.91,2.94,2.87,2.87,1300,2.87
2016-09-22,2.82,2.89,2.74,2.80,12300,2.80
2016-09-21,2.90,2.94,2.88,2.89,3500,2.89
2016-09-20,2.95,2.95,2.84,2.92,14800,2.92
2016-09-19,2.93,2.93,2.91,2.91,3000,2.91
2016-09-16,2.81,2.89,2.81,2.88,1300,2.88
2016-09-15,2.81,2.83,2.81,2.83,1500,2.83
2016-09-14,2.80,2.80,2.80,2.80,900,2.80
2016-09-13,2.81,2.82,2.80,2.80,2300,2.80
2016-09-12,3.00,3.00,2.78,2.80,30400,2.80
2016-09-09,2.60,2.66,2.51,2.66,118600,2.66
2016-09-08,2.60,2.64,2.60,2.62,2300,2.62
2016-09-07,2.71,2.71,2.60,2.60,14700,2.60
2016-09-06,2.80,2.85,2.77,2.77,15600,2.77
2016-09-02,2.65,2.80,2.65,2.80,4000,2.80
2016-09-01,2.68,2.68,2.63,2.68,7500,2.68
2016-08-31,2.88,2.88,2.88,2.88,000,2.88
2016-08-30,2.86,2.90,2.86,2.88,1200,2.88
2016-08-29,2.87,2.87,2.86,2.86,400,2.86
2016-08-26,2.70,2.86,2.70,2.86,4400,2.86
2016-08-25,2.66,2.70,2.66,2.67,5100,2.67
2016-08-24,2.76,2.80,2.65,2.66,63400,2.66
2016-08-23,2.79,2.79,2.75,2.75,165400,2.75
2016-08-22,2.80,2.86,2.77,2.80,117300,2.80
2016-08-19,2.83,2.88,2.60,2.80,15000,2.80
2016-08-18,2.83,2.85,2.80,2.83,7800,2.83
2016-08-17,2.89,2.89,2.76,2.78,8100,2.78
2016-08-16,3.00,3.01,2.83,2.83,10900,2.83
2016-08-15,3.23,3.23,2.82,2.82,14500,2.82
2016-08-12,2.95,2.95,2.88,2.88,11900,2.88
2016-08-11,3.05,3.14,3.00,3.01,9600,3.01
2016-08-10,3.20,3.26,2.90,3.03,31800,3.03
2016-08-09,3.15,3.21,3.12,3.20,9800,3.20
2016-08-08,3.13,3.15,3.13,3.15,1600,3.15
2016-08-05,3.20,3.26,3.19,3.20,3200,3.20
2016-08-04,3.20,3.20,3.19,3.20,100300,3.20
2016-08-03,3.25,3.28,3.25,3.27,5200,3.27
2016-08-02,3.29,3.35,3.28,3.33,2400,3.33
2016-07-29,3.25,3.33,3.15,3.30,5400,3.30
2016-07-28,3.23,3.26,3.23,3.26,1300,3.26
2016-07-27,3.38,3.38,3.27,3.36,2100,3.36
2016-07-26,3.20,3.33,3.20,3.31,1500,3.31
2016-07-25,3.28,3.28,3.25,3.26,5200,3.26
2016-07-22,3.31,3.43,3.28,3.33,7200,3.33
2016-07-21,3.38,3.43,3.38,3.42,2100,3.42
2016-07-20,3.38,3.43,3.25,3.34,3000,3.34
2016-07-19,3.25,3.40,3.25,3.33,13900,3.33
2016-07-18,3.28,3.28,3.11,3.20,700,3.20
2016-07-15,3.26,3.29,3.18,3.18,4600,3.18
2016-07-14,3.29,3.29,3.18,3.24,2500,3.24
2016-07-13,3.25,3.25,3.24,3.24,33800,3.24
2016-07-12,3.22,3.25,3.22,3.25,17400,3.25
2016-07-11,3.30,3.30,3.17,3.17,1600,3.17
2016-07-08,3.25,3.33,3.25,3.29,2700,3.29
2016-07-07,3.21,3.65,3.01,3.11,88700,3.11
2016-07-06,3.24,3.25,3.10,3.21,39900,3.21
2016-07-05,3.24,3.25,3.12,3.25,7800,3.25
2016-07-04,3.18,3.25,3.17,3.20,25300,3.20
2016-06-30,3.06,3.25,3.05,3.20,13400,3.20
2016-06-29,3.12,3.12,3.05,3.06,2600,3.06
2016-06-28,2.90,3.07,2.89,3.05,6500,3.05
2016-06-27,3.01,3.01,2.80,2.89,7900,2.89
2016-06-24,3.18,3.19,2.97,3.01,12300,3.01
2016-06-23,3.07,3.19,3.00,3.15,64300,3.15
2016-06-22,3.18,3.25,3.00,3.14,30300,3.14
2016-06-21,3.53,3.53,3.19,3.33,14400,3.33
2016-06-20,3.69,3.69,3.31,3.40,12600,3.40
2016-06-17,3.58,3.72,3.40,3.52,18800,3.52
2016-06-16,3.61,3.65,3.58,3.62,4700,3.62
2016-06-15,3.73,3.80,3.59,3.61,14400,3.61
2016-06-14,3.70,3.85,3.60,3.65,9500,3.65
2016-06-13,3.84,4.40,3.70,3.70,16100,3.70
2016-06-10,4.50,5.13,3.20,3.80,44500,3.80
2016-06-09,3.90,3.98,3.76,3.83,23200,3.83
2016-06-08,3.50,3.90,3.50,3.84,10500,3.84
2016-06-07,3.46,3.46,3.45,3.45,10200,3.45
