Date,Open,High,Low,Close,Volume,Adj Close
2017-02-08,14.14,14.31,13.90,14.11,1146500,14.11
2017-02-07,13.94,14.36,13.71,13.91,1410000,13.91
2017-02-06,13.22,14.03,13.10,14.00,1527200,14.00
2017-02-03,12.81,13.17,12.71,12.97,1209900,12.97
2017-02-02,12.99,13.06,12.63,12.80,1278100,12.80
2017-02-01,12.38,12.85,12.30,12.70,1681600,12.70
2017-01-31,12.26,12.55,12.16,12.47,1587900,12.47
2017-01-30,12.15,12.29,11.86,11.93,1019000,11.93
2017-01-27,11.70,12.19,11.70,12.09,1002500,12.09
2017-01-26,11.56,11.82,11.51,11.69,976100,11.69
2017-01-25,11.59,11.94,11.59,11.91,1394400,11.91
2017-01-24,12.46,12.69,12.00,12.09,1668600,12.09
2017-01-23,12.34,12.56,12.18,12.50,1264500,12.50
2017-01-20,12.03,12.38,11.91,12.15,1296600,12.15
2017-01-19,11.80,12.27,11.71,12.02,1727600,12.02
2017-01-18,12.43,12.49,11.79,11.93,1719500,11.93
2017-01-17,12.50,12.50,12.14,12.39,1609200,12.39
2017-01-16,12.14,12.14,12.00,12.07,368100,12.07
2017-01-13,11.47,12.11,11.33,12.05,1306100,12.05
2017-01-12,12.00,12.10,11.39,11.55,1564800,11.55
2017-01-11,11.82,11.97,11.41,11.77,1816300,11.77
2017-01-10,11.89,12.37,11.69,11.93,1621200,11.93
2017-01-09,12.00,12.21,11.65,11.75,1479600,11.75
2017-01-06,11.92,12.23,11.29,11.63,1870400,11.63
2017-01-05,11.50,12.67,11.50,12.22,2080300,12.22
2017-01-04,11.05,11.19,10.76,11.14,1600400,11.14
2017-01-03,10.42,10.89,10.25,10.84,1444200,10.84
2016-12-30,11.15,11.37,10.22,10.26,1799600,10.26
2016-12-29,10.20,11.09,10.20,11.07,1723200,11.07
2016-12-28,10.00,10.19,9.76,10.09,1263500,10.09
2016-12-23,9.32,9.48,9.24,9.28,791000,9.28
2016-12-22,9.26,9.75,9.25,9.30,1033200,9.30
2016-12-21,9.60,9.60,9.25,9.39,935700,9.39
2016-12-20,9.16,9.50,8.89,9.48,1714600,9.48
2016-12-19,9.69,9.83,9.44,9.48,1183000,9.48
2016-12-16,10.00,10.17,9.62,9.69,2225200,9.69
2016-12-15,10.50,10.50,9.66,9.79,2145000,9.79
2016-12-14,11.66,11.86,10.85,10.93,1737900,10.93
2016-12-13,11.41,11.58,11.11,11.49,1010400,11.49
2016-12-12,11.69,11.74,11.17,11.37,1257200,11.37
2016-12-09,12.37,12.46,11.51,11.59,1392100,11.59
2016-12-08,13.14,13.14,12.47,12.52,1108600,12.52
2016-12-07,13.17,13.53,12.81,13.05,1450800,13.05
2016-12-06,12.83,13.22,12.57,12.76,1432000,12.76
2016-12-05,12.81,13.00,12.26,12.82,1960100,12.82
2016-12-02,12.00,13.10,11.86,13.06,1961500,13.06
