Date,Open,High,Low,Close,Volume,Adj Close
2017-01-30,5.92,6.09,5.89,5.92,6795900,5.92
2017-01-27,5.77,5.95,5.74,5.88,2670100,5.88
2017-01-26,5.80,5.85,5.72,5.76,4139300,5.76
2017-01-25,5.92,6.04,5.87,5.93,4169000,5.93
2017-01-24,6.12,6.29,5.99,6.05,3403000,6.05
2017-01-23,6.04,6.23,6.00,6.15,3779400,6.15
2017-01-20,5.95,6.10,5.87,5.95,3378400,5.95
2017-01-19,5.82,6.01,5.77,5.90,3225600,5.90
2017-01-18,5.99,6.07,5.82,5.86,2466500,5.86
2017-01-17,6.08,6.09,5.94,6.00,4857000,6.00
2017-01-16,5.94,5.94,5.84,5.91,666900,5.91
2017-01-13,5.66,5.90,5.65,5.83,3602600,5.83
2017-01-12,6.13,6.15,5.82,5.86,3802700,5.86
2017-01-11,6.01,6.05,5.75,5.95,8357000,5.95
2017-01-10,5.97,6.23,5.93,6.07,4815400,6.07
2017-01-09,6.04,6.25,5.92,6.00,5133200,6.00
2017-01-06,6.01,6.24,5.66,5.85,4930900,5.85
2017-01-05,5.73,6.25,5.73,6.22,7714600,6.22
2017-01-04,5.61,5.62,5.41,5.58,3970800,5.58
2017-01-03,5.18,5.55,5.18,5.54,3940700,5.54
2016-12-30,5.44,5.64,5.14,5.19,5140800,5.19
2016-12-29,5.04,5.43,5.00,5.40,3949200,5.40
2016-12-28,4.65,4.98,4.65,4.96,2827700,4.96
2016-12-23,4.44,4.59,4.43,4.55,2965400,4.55
2016-12-22,4.45,4.51,4.34,4.39,2538800,4.39
2016-12-21,4.57,4.63,4.44,4.45,1714500,4.45
2016-12-20,4.39,4.54,4.30,4.54,2509100,4.54
2016-12-19,4.48,4.61,4.41,4.50,2584900,4.50
2016-12-16,4.38,4.56,4.30,4.42,4197500,4.42
2016-12-15,4.64,4.64,4.24,4.29,4859800,4.29
2016-12-14,5.23,5.33,4.72,4.74,6171700,4.74
2016-12-13,5.08,5.21,4.94,5.18,3430700,5.18
2016-12-12,4.96,5.19,4.89,5.09,2879300,5.09
2016-12-09,5.16,5.16,4.86,4.91,3959000,4.91
2016-12-08,5.15,5.21,5.08,5.20,2349000,5.20
2016-12-07,5.25,5.34,5.10,5.18,3815100,5.18
2016-12-06,5.18,5.38,5.10,5.12,3769100,5.12
2016-12-05,5.02,5.27,4.92,5.21,3304300,5.21
2016-12-02,4.98,5.16,4.96,5.12,5375700,5.12
2016-12-01,4.87,5.09,4.76,4.92,3308600,4.92
2016-11-30,5.00,5.01,4.91,4.92,3686200,4.92
2016-11-29,4.90,5.11,4.88,5.05,2966600,5.05
2016-11-28,4.97,5.09,4.89,5.04,2938400,5.04
2016-11-25,4.84,4.94,4.79,4.87,1855100,4.87
2016-11-24,4.82,4.83,4.72,4.74,716300,4.74
2016-11-23,4.95,4.98,4.74,4.82,5288500,4.82
2016-11-22,5.08,5.23,4.93,5.20,3790600,5.20
2016-11-21,5.08,5.18,5.02,5.06,3447400,5.06
2016-11-18,4.91,4.99,4.81,4.97,3556100,4.97
2016-11-17,5.15,5.33,4.87,4.97,6050900,4.97
2016-11-16,5.32,5.33,5.11,5.15,4597100,5.15
2016-11-15,5.07,5.36,5.05,5.31,4242100,5.31
2016-11-14,4.85,5.22,4.70,5.06,5231200,5.06
2016-11-11,5.18,5.28,4.81,4.87,3928000,4.87
2016-11-10,5.72,5.73,5.11,5.19,6360400,5.19
2016-11-09,6.25,6.27,5.64,5.79,5671100,5.79
2016-11-08,5.66,6.02,5.55,5.71,8091000,5.71
2016-11-07,5.38,5.40,5.23,5.31,2866500,5.31
2016-11-04,5.57,5.68,5.45,5.62,3149400,5.62
2016-11-03,5.27,5.58,5.23,5.57,3236000,5.57
2016-11-02,5.72,5.78,5.27,5.30,4017500,5.30
2016-11-01,5.53,5.66,5.47,5.56,3959000,5.56
2016-10-31,5.28,5.39,5.16,5.37,2437700,5.37
2016-10-28,5.25,5.40,5.09,5.25,3320000,5.25
2016-10-27,5.40,5.48,5.21,5.26,2369000,5.26
2016-10-26,5.66,5.68,5.32,5.42,2468800,5.42
2016-10-25,5.48,5.74,5.45,5.66,3960900,5.66
2016-10-24,5.55,5.58,5.32,5.42,4039800,5.42
2016-10-21,5.28,5.52,5.25,5.46,3595200,5.46
2016-10-20,5.10,5.30,4.99,5.29,4668300,5.29
2016-10-19,5.00,5.08,4.90,5.07,4830800,5.07
2016-10-18,4.60,4.83,4.53,4.79,4004700,4.79
2016-10-17,4.46,4.54,4.35,4.48,2201500,4.48
2016-10-14,4.47,4.58,4.42,4.45,2660800,4.45
2016-10-13,4.50,4.71,4.40,4.58,2875700,4.58
2016-10-12,4.37,4.53,4.33,4.48,2796900,4.48
2016-10-11,4.46,4.46,4.28,4.35,2876100,4.35
2016-10-07,4.37,4.46,4.18,4.37,5986000,4.37
2016-10-06,4.31,4.44,4.23,4.26,3589000,4.26
2016-10-05,4.69,4.70,4.35,4.48,4089500,4.48
2016-10-04,4.91,4.93,4.55,4.58,7690000,4.58
2016-10-03,5.30,5.36,5.06,5.14,2399200,5.14
2016-09-30,5.61,5.63,5.29,5.30,3596300,5.30
2016-09-29,5.51,5.59,5.40,5.53,2671000,5.53
2016-09-28,5.43,5.67,5.37,5.60,3652500,5.60
2016-09-27,5.45,5.53,5.35,5.42,3193300,5.42
2016-09-26,5.50,5.64,5.50,5.50,4596000,5.50
2016-09-23,5.70,5.73,5.39,5.45,3779100,5.45
2016-09-22,6.00,6.04,5.59,5.64,4686200,5.64
2016-09-21,5.67,5.91,5.58,5.89,4312800,5.89
2016-09-20,5.44,5.58,5.41,5.51,2794900,5.51
2016-09-19,5.41,5.53,5.37,5.44,2538400,5.44
2016-09-16,5.38,5.61,5.31,5.33,6862200,5.33
2016-09-15,5.51,5.59,5.34,5.48,3230100,5.48
2016-09-14,5.47,5.70,5.47,5.52,3775000,5.52
2016-09-13,5.70,5.72,5.28,5.40,4767500,5.40
