Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,26.629999,27.99,26.48,27.90,195700,27.90
2017-02-09,27.82,27.969999,26.950001,27.030001,218000,27.030001
2017-02-08,27.99,28.809999,27.719999,27.82,391200,27.82
2017-02-07,27.25,28.25,27.120001,27.52,301400,27.52
2017-02-06,25.940001,28.059999,25.940001,27.860001,533500,27.860001
2017-02-03,25.129999,25.629999,25.049999,25.530001,241700,25.530001
2017-02-02,25.40,25.48,24.84,25.40,192200,25.40
2017-02-01,24.48,25.24,24.450001,25.02,236800,25.02
2017-01-31,25.049999,25.10,24.48,24.860001,298200,24.860001
2017-01-30,24.25,25.129999,24.25,24.459999,198600,24.459999
2017-01-27,23.84,24.299999,23.76,24.129999,198300,24.129999
2017-01-26,23.950001,24.360001,23.66,23.92,212600,23.92
2017-01-25,23.75,24.209999,23.559999,24.200001,188800,24.200001
2017-01-24,24.610001,25.049999,23.75,24.16,240800,24.16
2017-01-23,24.58,24.860001,24.200001,24.530001,267900,24.530001
2017-01-20,23.379999,24.49,23.26,23.879999,197900,23.879999
2017-01-19,23.10,23.719999,22.91,23.389999,227400,23.389999
2017-01-18,23.40,24.139999,23.059999,23.290001,461900,23.290001
2017-01-17,22.93,23.530001,22.68,23.41,324000,23.41
2017-01-16,22.91,23.24,22.23,22.639999,191400,22.639999
2017-01-13,23.09,23.879999,22.709999,22.83,332600,22.83
2017-01-12,23.969999,24.059999,23.129999,23.370001,264200,23.370001
2017-01-11,23.299999,24.02,22.889999,23.540001,329000,23.540001
2017-01-10,23.23,23.889999,23.00,23.48,359300,23.48
2017-01-09,22.50,23.92,22.50,23.110001,510000,23.110001
2017-01-06,22.860001,23.440001,21.610001,22.26,370900,22.26
2017-01-05,21.49,23.639999,21.49,23.440001,592100,23.440001
2017-01-04,21.290001,21.66,20.889999,21.07,353400,21.07
2017-01-03,20.110001,21.33,19.969999,21.25,315200,21.25
2016-12-30,21.139999,21.719999,20.059999,20.059999,372100,20.059999
2016-12-29,19.49,21.219999,19.23,21.07,494200,21.07
2016-12-28,18.34,19.57,18.030001,19.27,388600,19.27
2016-12-23,17.85,18.17,17.559999,17.73,167400,17.73
2016-12-22,17.66,18.309999,17.549999,17.83,170300,17.83
2016-12-21,18.02,18.10,17.639999,17.73,274500,17.73
2016-12-20,17.790001,18.110001,17.370001,18.049999,388200,18.049999
2016-12-19,17.99,18.40,17.51,18.059999,468300,18.059999
2016-12-16,18.559999,19.23,17.76,17.76,2219900,17.76
2016-12-15,19.00,19.34,18.18,18.549999,465400,18.549999
2016-12-14,20.860001,21.200001,19.549999,19.690001,430100,19.690001
2016-12-13,21.15,21.360001,20.360001,20.629999,319500,20.629999
2016-12-12,21.620001,21.92,20.83,21.23,497600,21.23
2016-12-09,22.50,22.50,21.459999,21.77,441500,21.77
2016-12-08,21.450001,22.66,21.450001,22.60,489200,22.60
2016-12-07,21.040001,21.92,21.040001,21.440001,262000,21.440001
2016-12-06,20.940001,21.25,20.540001,20.76,270500,20.76
2016-12-05,19.969999,20.93,19.809999,20.870001,309000,20.870001
2016-12-02,20.25,20.559999,19.940001,20.43,408500,20.43
2016-12-01,19.969999,20.690001,19.610001,20.24,364700,20.24
2016-11-30,20.040001,20.41,19.799999,20.23,612100,20.23
2016-11-29,20.40,20.719999,19.950001,20.379999,208000,20.379999
2016-11-28,20.040001,21.120001,19.700001,20.93,232900,20.93
2016-11-25,20.049999,20.440001,19.51,19.780001,127900,19.780001
2016-11-24,19.73,20.17,19.59,19.959999,65900,19.959999
2016-11-23,20.370001,20.629999,19.27,20.08,478800,20.08
2016-11-22,21.59,21.610001,20.540001,21.559999,187900,21.559999
2016-11-21,21.43,21.67,21.00,21.34,166300,21.34
2016-11-18,20.27,21.139999,20.129999,21.00,333700,21.00
2016-11-17,21.66,21.85,20.290001,20.67,427400,20.67
2016-11-16,21.66,21.85,21.10,21.620001,301300,21.620001
2016-11-15,21.309999,21.969999,21.00,21.860001,217300,21.860001
2016-11-14,20.83,22.24,19.76,21.25,343700,21.25
