Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,10.46,10.79,10.31,10.72,1062600,10.72
2017-02-09,10.98,10.99,10.66,10.74,756500,10.74
2017-02-08,10.83,11.15,10.83,10.98,1001900,10.98
2017-02-07,10.97,11.12,10.60,10.80,1403800,10.80
2017-02-06,10.09,11.00,10.09,10.94,1300100,10.94
2017-02-03,9.99,10.12,9.94,10.07,618000,10.07
2017-02-02,9.81,10.04,9.81,9.99,1046000,9.99
2017-02-01,9.20,9.76,9.17,9.72,1005200,9.72
2017-01-31,9.01,9.34,8.90,9.33,1202000,9.33
2017-01-30,9.00,9.21,8.93,8.94,756700,8.94
2017-01-27,8.57,8.99,8.57,8.99,543000,8.99
2017-01-26,8.50,8.77,8.50,8.58,461700,8.58
2017-01-25,8.62,8.84,8.53,8.82,590600,8.82
2017-01-24,8.94,9.01,8.66,8.79,985600,8.79
2017-01-23,8.81,8.97,8.63,8.90,563800,8.90
2017-01-20,8.40,8.75,8.32,8.61,587100,8.61
2017-01-19,8.36,8.42,8.16,8.40,933200,8.40
2017-01-18,8.67,8.67,8.31,8.36,608400,8.36
2017-01-17,8.36,8.69,8.36,8.61,1581100,8.61
2017-01-16,8.24,8.25,8.13,8.21,419600,8.21
2017-01-13,7.95,8.07,7.87,8.06,583500,8.06
2017-01-12,8.18,8.34,7.88,7.95,927600,7.95
2017-01-11,7.92,8.08,7.77,8.08,1036400,8.08
2017-01-10,7.66,7.89,7.66,7.84,951700,7.84
2017-01-09,7.70,7.81,7.56,7.62,2074400,7.62
2017-01-06,7.65,7.68,7.33,7.47,1027300,7.47
2017-01-05,7.60,7.80,7.51,7.73,970300,7.73
2017-01-04,7.24,7.41,7.20,7.40,704900,7.40
2017-01-03,7.05,7.28,7.00,7.27,1161000,7.27
2016-12-30,7.26,7.49,7.02,7.02,838800,7.02
2016-12-29,6.89,7.37,6.86,7.35,1484000,7.35
2016-12-28,6.67,6.98,6.60,6.91,1331800,6.91
2016-12-23,6.54,6.71,6.49,6.66,393400,6.66
2016-12-22,6.53,6.53,6.40,6.47,538600,6.47
2016-12-21,6.43,6.67,6.33,6.49,1230900,6.49
2016-12-20,6.54,6.54,6.39,6.50,801300,6.50
2016-12-19,3.60,3.60,3.60,3.60,000,3.60
2016-12-16,7.01,7.01,6.56,6.67,9954700,6.67
2016-12-15,7.51,7.64,6.84,6.95,2200900,6.95
2016-12-14,8.00,8.13,7.50,7.56,1844700,7.56
2016-12-13,8.01,8.08,7.84,7.94,1272000,7.94
2016-12-12,8.00,8.23,7.98,8.06,1802700,8.06
2016-12-09,8.43,8.43,7.91,7.93,1263100,7.93
2016-12-08,8.53,8.58,8.35,8.43,630700,8.43
2016-12-07,8.17,8.17,8.17,8.17,000,8.17
2016-12-06,7.58,7.58,7.58,7.58,000,7.58
2016-12-05,3.42,3.68,3.35,3.60,1073700,7.578947
2016-12-02,3.49,3.55,3.42,3.48,430700,7.326316
2016-12-01,3.60,3.60,3.40,3.45,313600,7.263158
2016-11-30,3.56,3.60,3.46,3.57,926300,7.515789
2016-11-29,3.45,3.60,3.45,3.60,239900,7.578947
2016-11-28,3.34,3.61,3.33,3.60,503700,7.578947
2016-11-25,3.54,3.54,3.31,3.32,227400,6.989474
2016-11-24,3.37,3.47,3.26,3.43,127600,7.221053
2016-11-23,3.50,3.55,3.42,3.42,379100,7.20
2016-11-22,3.55,3.67,3.48,3.67,295500,7.726316
2016-11-21,3.50,3.61,3.49,3.53,767100,7.431579
2016-11-18,3.45,3.61,3.41,3.48,849900,7.326316
2016-11-17,3.64,3.70,3.36,3.51,447700,7.389474
2016-11-16,3.73,3.74,3.56,3.58,421300,7.536842
2016-11-15,3.50,3.72,3.50,3.61,484400,7.60
2016-11-14,3.21,3.59,3.21,3.49,799000,7.347368
2016-11-11,3.46,3.50,3.11,3.36,1027200,7.073684
2016-11-10,3.80,3.80,3.40,3.40,436000,7.157895
2016-11-09,4.07,4.07,3.70,3.80,497400,8.00
2016-11-08,3.91,3.94,3.68,3.73,311900,7.852631
2016-11-07,3.95,4.00,3.81,3.82,279300,8.042106
2016-11-04,4.05,4.10,3.98,4.05,413300,8.526316
2016-11-03,3.91,4.11,3.91,4.00,494300,8.421053
2016-11-02,4.14,4.20,3.85,3.85,741100,8.105263
2016-11-01,4.09,4.17,3.98,4.07,491300,8.568421
2016-10-31,3.90,4.14,3.88,3.96,863800,8.336842
2016-10-28,3.84,3.98,3.76,3.86,287300,8.126316
2016-10-27,3.90,3.96,3.83,3.83,273900,8.063158
2016-10-26,3.96,3.98,3.84,3.86,340300,8.126316
2016-10-25,3.75,3.98,3.75,3.95,319200,8.315789
2016-10-24,3.82,3.84,3.65,3.75,392700,7.894737
2016-10-21,3.83,3.83,3.75,3.77,270000,7.936842
2016-10-20,3.79,3.83,3.75,3.77,461800,7.936842
2016-10-19,3.76,3.85,3.69,3.76,716200,7.91579
2016-10-18,3.69,3.72,3.63,3.66,515300,7.705263
2016-10-17,3.58,3.69,3.57,3.60,375300,7.578947
2016-10-14,3.65,3.72,3.60,3.60,318300,7.578947
2016-10-13,3.68,3.73,3.59,3.65,696100,7.68421
2016-10-12,3.74,3.77,3.59,3.60,572900,7.578947
2016-10-11,3.72,3.79,3.69,3.69,402500,7.768421
2016-10-07,3.91,3.98,3.68,3.79,694300,7.978947
2016-10-06,3.90,3.94,3.73,3.82,601500,8.042106
2016-10-05,4.12,4.18,3.83,4.06,926800,8.547368
2016-10-04,4.50,4.50,4.10,4.17,1103600,8.778948
2016-10-03,4.70,4.70,4.61,4.62,456300,9.726315
2016-09-30,4.80,4.85,4.64,4.71,1177100,9.915789
2016-09-29,5.00,5.02,4.79,4.87,1669600,10.252631
2016-09-28,4.71,4.85,4.55,4.83,491100,10.168421
2016-09-27,4.76,4.77,4.60,4.67,406600,9.831579
2016-09-26,4.89,4.93,4.78,4.87,240800,10.252631
2016-09-23,4.95,4.99,4.78,4.83,442200,10.168421
2016-09-22,5.05,5.05,4.84,4.91,441300,10.336842
2016-09-21,4.50,5.07,4.46,5.00,1308300,10.526316
2016-09-20,4.19,4.45,4.18,4.44,919300,9.347368
2016-09-19,4.21,4.23,4.05,4.18,324700,8.80
