Date,Open,High,Low,Close,Volume,Adj Close
2017-01-10,0.61,0.63,0.61,0.63,33600,0.63
2017-01-09,0.63,0.63,0.62,0.63,10400,0.63
2017-01-06,0.65,0.65,0.61,0.61,16400,0.61
2017-01-05,0.68,0.68,0.62,0.62,38900,0.62
2017-01-04,0.61,0.68,0.61,0.68,226800,0.68
2017-01-03,0.60,0.61,0.60,0.60,38400,0.60
2016-12-30,0.59,0.59,0.58,0.59,47000,0.59
2016-12-29,0.58,0.58,0.58,0.58,11000,0.58
2016-12-28,0.60,0.60,0.58,0.58,11500,0.58
2016-12-23,0.61,0.61,0.61,0.61,41300,0.61
2016-12-22,0.60,0.60,0.60,0.60,8900,0.60
2016-12-21,0.60,0.60,0.60,0.60,6000,0.60
2016-12-20,0.60,0.62,0.60,0.60,131400,0.60
2016-12-19,0.60,0.60,0.60,0.60,25800,0.60
2016-12-16,0.63,0.64,0.58,0.58,94700,0.58
2016-12-15,0.61,0.63,0.59,0.62,78800,0.62
2016-12-14,0.60,0.62,0.59,0.61,56700,0.61
2016-12-13,0.60,0.60,0.58,0.60,44500,0.60
2016-12-12,0.57,0.60,0.57,0.60,31100,0.60
2016-12-09,0.59,0.59,0.54,0.59,13300,0.59
2016-12-08,0.59,0.59,0.58,0.59,23900,0.59
2016-12-07,0.57,0.58,0.57,0.58,58500,0.58
2016-12-06,0.56,0.57,0.56,0.57,15100,0.57
2016-12-05,0.56,0.60,0.56,0.58,9600,0.58
2016-12-02,0.50,0.60,0.50,0.58,167300,0.58
2016-12-01,0.50,0.51,0.49,0.51,5700,0.51
2016-11-30,0.49,0.49,0.49,0.49,30000,0.49
2016-11-29,0.53,0.53,0.52,0.52,4500,0.52
2016-11-28,0.50,0.53,0.50,0.52,56600,0.52
2016-11-25,0.53,0.55,0.53,0.55,14700,0.55
2016-11-24,0.52,0.54,0.52,0.53,9400,0.53
2016-11-23,0.53,0.53,0.53,0.53,7900,0.53
2016-11-22,0.53,0.53,0.50,0.51,93200,0.51
2016-11-21,0.50,0.52,0.50,0.52,105300,0.52
2016-11-18,0.49,0.51,0.48,0.48,71500,0.48
2016-11-17,0.51,0.51,0.51,0.51,000,0.51
2016-11-16,0.51,0.51,0.51,0.51,9700,0.51
2016-11-15,0.51,0.51,0.51,0.51,8400,0.51
2016-11-14,0.49,0.49,0.49,0.49,2000,0.49
2016-11-11,0.50,0.52,0.50,0.52,11900,0.52
2016-11-10,0.51,0.52,0.50,0.52,17400,0.52
2016-11-09,0.49,0.52,0.49,0.52,51700,0.52
2016-11-08,0.51,0.51,0.49,0.49,18900,0.49
2016-11-07,0.52,0.52,0.52,0.52,7500,0.52
2016-11-04,0.50,0.52,0.50,0.50,26400,0.50
2016-11-03,0.50,0.50,0.47,0.50,12000,0.50
2016-11-02,0.49,0.50,0.48,0.50,89400,0.50
2016-11-01,0.49,0.50,0.49,0.49,101400,0.49
2016-10-31,0.49,0.49,0.49,0.49,8000,0.49
2016-10-28,0.49,0.50,0.49,0.50,32300,0.50
2016-10-27,0.49,0.50,0.49,0.49,99500,0.49
2016-10-26,0.49,0.49,0.49,0.49,5000,0.49
2016-10-25,0.49,0.50,0.49,0.50,5000,0.50
2016-10-24,0.51,0.52,0.50,0.50,18900,0.50
2016-10-21,0.51,0.51,0.51,0.51,22500,0.51
2016-10-20,0.51,0.51,0.51,0.51,000,0.51
2016-10-19,0.52,0.52,0.50,0.51,17800,0.51
2016-10-18,0.51,0.52,0.50,0.52,75000,0.52
2016-10-17,0.50,0.51,0.50,0.51,38700,0.51
2016-10-14,0.52,0.53,0.51,0.53,27000,0.53
2016-10-13,0.53,0.54,0.50,0.50,139500,0.50
2016-10-12,0.54,0.54,0.53,0.53,7500,0.53
2016-10-11,0.56,0.56,0.53,0.55,22500,0.55
2016-10-07,0.56,0.56,0.53,0.54,111500,0.54
2016-10-06,0.57,0.57,0.56,0.57,84000,0.57
2016-10-05,0.57,0.58,0.57,0.58,9500,0.58
2016-10-04,0.58,0.60,0.57,0.57,83600,0.57
2016-10-03,0.61,0.65,0.56,0.56,191000,0.56
2016-09-30,0.63,0.65,0.61,0.61,85900,0.61
2016-09-29,0.65,0.65,0.61,0.64,74200,0.64
2016-09-28,0.61,0.65,0.61,0.65,139100,0.65
2016-09-27,0.59,0.60,0.58,0.60,25300,0.60
2016-09-26,0.55,0.58,0.55,0.58,34700,0.58
2016-09-23,0.56,0.57,0.55,0.57,112200,0.57
2016-09-22,0.57,0.57,0.55,0.55,23400,0.55
2016-09-21,0.57,0.57,0.54,0.54,49500,0.54
2016-09-20,0.56,0.59,0.55,0.57,40500,0.57
2016-09-19,0.58,0.58,0.57,0.57,7000,0.57
2016-09-16,0.59,0.59,0.57,0.58,18000,0.58
2016-09-15,0.57,0.60,0.55,0.59,74700,0.59
2016-09-14,0.55,0.59,0.55,0.59,34400,0.59
2016-09-13,0.56,0.59,0.55,0.55,17900,0.55
2016-09-12,0.55,0.58,0.54,0.58,11000,0.58
2016-09-09,0.57,0.59,0.54,0.57,106700,0.57
2016-09-08,0.59,0.59,0.57,0.59,32900,0.59
2016-09-07,0.58,0.60,0.56,0.60,105600,0.60
2016-09-06,0.54,0.58,0.54,0.58,83500,0.58
2016-09-02,0.55,0.56,0.55,0.56,5900,0.56
2016-09-01,0.56,0.56,0.56,0.56,62000,0.56
2016-08-31,0.55,0.56,0.55,0.56,40500,0.56
2016-08-30,0.55,0.57,0.55,0.57,42900,0.57
2016-08-29,0.54,0.57,0.53,0.53,57900,0.53
2016-08-26,0.53,0.55,0.53,0.55,9400,0.55
2016-08-25,0.51,0.53,0.48,0.53,64400,0.53
2016-08-24,0.51,0.55,0.51,0.52,74800,0.52
2016-08-23,0.56,0.56,0.52,0.54,14400,0.54
2016-08-22,0.56,0.56,0.53,0.53,53700,0.53
2016-08-19,0.58,0.58,0.58,0.58,22900,0.58
2016-08-18,0.58,0.58,0.54,0.58,50200,0.58
2016-08-17,0.60,0.60,0.58,0.60,83900,0.60
2016-08-16,0.56,0.60,0.56,0.60,154000,0.60
2016-08-15,0.52,0.58,0.52,0.56,132900,0.56
2016-08-12,0.49,0.51,0.49,0.51,22500,0.51
2016-08-11,0.45,0.50,0.45,0.50,121800,0.50
2016-08-10,0.43,0.46,0.43,0.46,318600,0.46
2016-08-09,0.43,0.43,0.42,0.43,35500,0.43
2016-08-08,0.41,0.43,0.41,0.43,55500,0.43
2016-08-05,0.40,0.41,0.40,0.41,13000,0.41
2016-08-04,0.40,0.40,0.40,0.40,3000,0.40
2016-08-03,0.41,0.41,0.39,0.39,31200,0.39
2016-08-02,0.40,0.42,0.40,0.42,13400,0.42
2016-07-29,0.43,0.43,0.41,0.41,27200,0.41
2016-07-28,0.44,0.44,0.42,0.42,228900,0.42
2016-07-27,0.43,0.44,0.40,0.44,91400,0.44
2016-07-26,0.40,0.43,0.40,0.43,57400,0.43
2016-07-25,0.40,0.40,0.40,0.40,123900,0.40
2016-07-22,0.40,0.40,0.39,0.40,92400,0.40
2016-07-21,0.39,0.40,0.38,0.40,50400,0.40
2016-07-20,0.40,0.40,0.37,0.37,134300,0.37
2016-07-19,0.39,0.40,0.37,0.40,154500,0.40
2016-07-18,0.37,0.40,0.37,0.40,251900,0.40
2016-07-15,0.37,0.37,0.36,0.37,232000,0.37
2016-07-14,0.35,0.36,0.35,0.36,111400,0.36
2016-07-13,0.35,0.35,0.35,0.35,000,0.35
2016-07-12,0.35,0.35,0.34,0.35,16500,0.35
2016-07-11,0.35,0.35,0.35,0.35,500,0.35
2016-07-08,0.34,0.35,0.34,0.35,13000,0.35
2016-07-07,0.33,0.33,0.33,0.33,56600,0.33
2016-07-06,0.33,0.33,0.32,0.33,7000,0.33
2016-07-05,0.35,0.35,0.33,0.33,21000,0.33
2016-07-04,0.36,0.36,0.34,0.34,13200,0.34
2016-06-30,0.37,0.37,0.37,0.37,000,0.37
2016-06-29,0.36,0.37,0.36,0.37,78500,0.37
2016-06-28,0.37,0.37,0.37,0.37,500,0.37
2016-06-27,0.37,0.38,0.32,0.35,117500,0.35
2016-06-24,0.32,0.35,0.32,0.35,60400,0.35
2016-06-23,0.30,0.37,0.28,0.37,187700,0.37
2016-06-22,0.29,0.29,0.29,0.29,18500,0.29
2016-06-21,0.29,0.29,0.29,0.29,59000,0.29
2016-06-20,0.28,0.29,0.26,0.28,81500,0.28
2016-06-17,0.29,0.29,0.29,0.29,000,0.29
2016-06-16,0.29,0.29,0.29,0.29,5000,0.29
2016-06-15,0.30,0.30,0.30,0.30,1500,0.30
2016-06-14,0.28,0.30,0.28,0.28,11500,0.28
2016-06-13,0.30,0.30,0.30,0.30,000,0.30
2016-06-10,0.30,0.30,0.30,0.30,000,0.30
2016-06-09,0.29,0.30,0.29,0.30,14500,0.30
