Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,28.77,28.99,28.610001,28.85,40900,28.85
2017-02-09,28.73,28.889999,28.66,28.75,63200,28.75
2017-02-08,28.360001,28.82,28.190001,28.68,61100,28.68
2017-02-07,28.57,28.639999,28.049999,28.33,58400,28.33
2017-02-06,28.85,29.129999,28.50,28.58,58300,28.58
2017-02-03,29.01,29.049999,28.790001,28.83,45200,28.83
2017-02-02,28.780001,29.09,28.780001,28.91,54100,28.91
2017-02-01,28.57,29.049999,28.549999,28.780001,61100,28.780001
2017-01-31,28.76,28.83,28.00,28.48,92300,28.48
2017-01-30,29.379999,29.379999,28.67,28.76,93700,28.76
2017-01-27,29.08,29.469999,28.85,29.41,25500,29.41
2017-01-26,29.40,29.440001,28.25,29.07,125600,29.07
2017-01-25,29.65,29.780001,29.200001,29.370001,70100,29.370001
2017-01-24,29.92,29.99,29.450001,29.59,45900,29.59
2017-01-23,30.10,30.290001,29.799999,29.959999,35000,29.959999
2017-01-20,30.49,30.57,29.690001,30.16,60200,30.16
2017-01-19,30.51,30.629999,30.219999,30.26,65300,30.26
2017-01-18,30.459999,30.77,30.35,30.450001,33400,30.450001
2017-01-17,30.16,30.49,30.10,30.41,26900,30.41
2017-01-16,29.66,30.18,29.65,30.09,15500,30.09
2017-01-13,29.969999,29.969999,29.629999,29.74,15000,29.74
2017-01-12,30.48,30.690001,29.85,29.92,51500,29.92
2017-01-11,29.57,30.65,29.57,30.40,65300,30.40
2017-01-10,29.219999,29.780001,29.219999,29.57,94800,29.57
2017-01-09,29.719999,29.719999,29.08,29.309999,29700,29.309999
2017-01-06,29.85,29.969999,29.57,29.629999,63900,29.629999
2017-01-05,29.200001,30.00,29.030001,29.85,52600,29.85
2017-01-04,28.719999,29.59,28.719999,29.23,45700,29.23
2017-01-03,28.75,29.09,28.52,28.700001,62500,28.700001
2016-12-30,29.07,29.23,28.530001,28.780001,49600,28.780001
2016-12-29,28.450001,29.280001,28.440001,29.09,31100,29.09
2016-12-28,28.809999,28.84,28.459999,28.459999,54700,28.459999
2016-12-23,28.639999,28.690001,28.540001,28.690001,29100,28.690001
2016-12-22,28.870001,28.90,28.67,28.75,11900,28.75
2016-12-21,28.719999,29.00,28.629999,28.889999,30100,28.889999
2016-12-20,28.440001,29.25,28.43,28.51,46000,28.51
2016-12-19,28.18,28.75,27.860001,28.43,49100,28.43
2016-12-16,28.110001,28.379999,28.10,28.209999,21100,28.209999
2016-12-15,28.10,28.200001,28.00,28.10,99500,28.10
2016-12-14,28.27,28.32,28.10,28.139999,92200,28.139999
2016-12-13,28.209999,28.41,28.15,28.33,56500,28.33
2016-12-12,28.209999,28.379999,28.190001,28.24,121900,28.24
2016-12-09,28.08,28.25,27.469999,28.16,100300,28.16
2016-12-08,27.860001,28.49,27.809999,28.08,29700,28.08
2016-12-07,27.58,27.98,27.40,27.93,29900,27.93
2016-12-06,27.68,27.709999,27.299999,27.51,64700,27.51
2016-12-05,28.459999,28.620001,27.469999,27.65,50200,27.65
2016-12-02,29.00,29.049999,28.450001,28.57,71100,28.57
2016-12-01,29.379999,29.379999,28.90,29.07,113000,29.07
2016-11-30,29.110001,29.48,28.90,29.42,79600,29.42
2016-11-29,28.99,29.200001,28.90,29.110001,32500,29.110001
2016-11-28,28.799999,29.08,28.67,28.99,53500,28.99
2016-11-25,29.17,29.25,28.860001,28.950001,28100,28.950001
2016-11-24,28.85,29.459999,28.700001,29.17,32700,29.17
2016-11-23,29.07,29.120001,28.719999,28.85,34200,28.85
2016-11-22,28.65,29.190001,28.40,29.110001,138500,29.110001
2016-11-21,28.91,29.10,28.40,28.540001,99900,28.540001
2016-11-18,28.450001,28.790001,28.25,28.68,85700,28.68
2016-11-17,27.43,28.48,27.43,28.360001,52900,28.360001
2016-11-16,27.48,27.709999,27.25,27.370001,66200,27.370001
2016-11-15,26.73,27.74,26.73,27.51,145200,27.36
2016-11-14,27.77,27.790001,26.82,26.91,79700,26.763271
2016-11-11,27.98,27.98,27.440001,27.75,53600,27.598691
2016-11-10,28.200001,28.299999,27.809999,27.98,43400,27.827437
2016-11-09,28.440001,28.700001,27.98,28.049999,92900,27.897055
2016-11-08,29.290001,29.290001,28.610001,28.780001,73900,28.623076
2016-11-07,28.969999,29.549999,28.799999,29.219999,114600,29.060675
2016-11-04,29.200001,29.299999,28.23,28.90,162400,28.74242
2016-11-03,29.120001,29.129999,28.620001,29.00,131000,28.841875
2016-11-02,28.91,30.00,28.91,29.190001,251800,29.03084
2016-11-01,28.709999,28.84,27.68,28.040001,133100,27.887111
2016-10-31,27.17,28.59,27.15,28.51,257700,28.354547
2016-10-28,28.110001,28.200001,27.209999,27.280001,182300,27.131254
2016-10-27,29.92,29.92,28.00,28.110001,385400,27.956729
2016-10-26,29.450001,30.190001,29.42,29.93,80800,29.766805
2016-10-25,29.50,29.67,29.360001,29.57,45900,29.408767
2016-10-24,29.27,29.709999,29.18,29.50,117600,29.339149
2016-10-21,29.74,29.74,29.190001,29.290001,47400,29.130295
2016-10-20,29.719999,29.950001,29.370001,29.76,186400,29.597732
2016-10-19,29.85,30.10,29.549999,29.68,242100,29.518168
2016-10-18,29.00,29.780001,29.00,29.77,230200,29.607677
2016-10-17,29.68,29.73,28.959999,29.01,306400,28.851821
2016-10-14,29.85,30.059999,29.719999,29.780001,46800,29.617623
2016-10-13,29.860001,30.059999,29.530001,29.82,153100,29.657404
2016-10-12,29.50,30.10,29.49,29.809999,149200,29.647458
2016-10-11,30.530001,30.530001,29.48,29.59,158000,29.428659
2016-10-07,31.10,31.110001,30.48,30.59,92700,30.423206
2016-10-06,31.360001,31.42,31.030001,31.10,84900,30.930425
2016-10-05,31.799999,31.85,31.049999,31.370001,86800,31.198954
2016-10-04,31.58,31.92,31.370001,31.77,120600,31.596772
2016-10-03,31.139999,31.85,30.860001,31.58,178900,31.407808
2016-09-30,31.889999,31.889999,30.99,31.139999,102800,30.970206
2016-09-29,31.82,32.029999,31.60,31.92,106500,31.745954
2016-09-28,32.560001,32.575001,31.50,31.76,277100,31.586826
2016-09-27,33.400002,33.619999,33.009998,33.349998,41900,33.168155
2016-09-26,33.709999,33.709999,33.365002,33.450001,37400,33.267612
2016-09-23,34.099998,34.099998,33.450001,33.630001,143600,33.446631
2016-09-22,33.599998,34.150002,33.43,33.889999,100300,33.705212
2016-09-21,33.150002,33.709999,32.759998,33.209999,287700,33.028919
2016-09-20,31.700001,33.209999,31.67,33.049999,807900,32.869792
2016-09-19,31.24,32.029999,31.200001,31.700001,108800,31.527154
2016-09-16,31.629999,31.75,30.99,30.99,1977400,30.821025
2016-09-15,31.209999,32.200001,31.209999,31.639999,190000,31.46748
2016-09-14,30.889999,31.389999,30.879999,31.209999,246100,31.039824
2016-09-13,30.969999,31.049999,30.59,30.90,124900,30.731515
2016-09-12,31.040001,31.120001,30.85,30.969999,235100,30.801133
2016-09-09,31.889999,31.889999,31.00,31.200001,116900,31.02988
2016-09-08,31.93,32.00,31.809999,31.879999,91100,31.706171
2016-09-07,31.860001,32.00,31.700001,31.90,58600,31.726063
2016-09-06,31.02,32.00,31.02,31.719999,187100,31.547044
2016-09-02,31.50,31.68,30.91,31.040001,68000,30.870753
2016-09-01,31.17,31.950001,31.049999,31.43,86300,31.258626
2016-08-31,31.00,31.27,30.77,31.16,200000,30.990098
2016-08-30,31.139999,31.15,30.969999,31.00,62500,30.83097
2016-08-29,31.34,31.34,30.77,31.059999,41900,30.890643
2016-08-26,30.75,31.34,30.75,31.24,118000,31.069661
2016-08-25,30.639999,30.76,30.379999,30.74,604000,30.572388
2016-08-24,30.719999,30.82,30.639999,30.700001,123100,30.532607
2016-08-23,30.90,30.93,30.60,30.82,162200,30.651951
2016-08-22,30.870001,30.90,30.735001,30.790001,115100,30.622116
2016-08-19,30.98,31.02,30.82,30.889999,36300,30.721569
2016-08-18,31.360001,31.41,30.90,31.00,50600,30.83097
2016-08-17,31.48,31.48,31.15,31.34,92300,31.169117
2016-08-16,31.43,31.530001,31.299999,31.48,78700,31.308353
2016-08-15,31.950001,31.950001,31.370001,31.469999,59800,31.298407
2016-08-12,31.780001,31.93,31.66,31.74,62000,31.566935
2016-08-11,32.00,32.00,31.809999,31.860001,51200,31.5371
2016-08-10,32.00,32.189999,31.879999,32.00,130500,31.67568
2016-08-09,32.400002,32.57,31.58,31.969999,78400,31.645984
2016-08-08,33.009998,33.400002,32.380001,32.439999,260100,32.111219
2016-08-05,31.559999,32.41,31.27,32.369999,114900,32.041929
2016-08-04,30.10,31.85,29.99,31.50,197300,31.180748
2016-08-03,30.00,30.50,29.969999,30.030001,119400,29.725647
2016-08-02,30.09,30.15,29.75,29.99,101800,29.686051
2016-07-29,28.26,30.799999,28.25,30.200001,678000,29.893924
2016-07-28,27.32,27.32,26.85,27.16,101000,26.884733
2016-07-27,27.42,27.42,26.90,27.00,29500,26.726355
2016-07-26,26.549999,27.26,26.549999,27.24,47200,26.963923
2016-07-25,27.01,27.129999,26.42,26.540001,100900,26.271018
2016-07-22,27.24,27.24,26.209999,26.59,160300,26.320511
2016-07-21,25.290001,27.299999,25.290001,27.00,110000,26.726355
2016-07-20,24.799999,25.15,24.790001,25.040001,101100,24.786221
2016-07-19,24.790001,24.90,24.440001,24.709999,21200,24.459563
2016-07-18,24.43,24.950001,24.389999,24.629999,17600,24.380374
2016-07-15,24.43,24.43,23.959999,24.43,412100,24.182402
2016-07-14,24.209999,24.35,23.90,24.110001,17900,23.865646
2016-07-13,24.07,24.59,23.99,24.16,32000,23.915138
2016-07-12,23.969999,24.790001,23.860001,24.07,80200,23.82605
2016-07-11,23.83,24.17,23.450001,23.969999,943400,23.727063
2016-07-08,23.709999,24.08,23.700001,23.83,21600,23.588483
2016-07-07,23.709999,23.950001,23.52,23.709999,14000,23.469698
2016-07-06,24.450001,24.450001,23.559999,23.700001,59100,23.459801
2016-07-05,24.18,24.379999,24.00,24.139999,67500,23.895341
2016-07-04,24.18,24.700001,23.620001,24.049999,64200,23.806253
2016-06-30,23.67,23.90,23.379999,23.82,44300,23.578584
2016-06-29,22.959999,23.75,22.959999,23.42,31200,23.182638
2016-06-28,22.879999,23.50,22.440001,22.91,57300,22.677807
2016-06-27,23.190001,23.190001,22.309999,22.530001,31100,22.301659
2016-06-24,22.50,23.25,22.120001,22.99,42400,22.756996
2016-06-23,23.129999,23.200001,22.700001,22.99,32700,22.756996
2016-06-22,23.42,23.76,23.040001,23.049999,21200,22.816388
2016-06-21,23.309999,23.459999,23.040001,23.459999,30200,23.222232
2016-06-20,23.200001,23.639999,23.200001,23.309999,40300,23.073753
2016-06-17,23.32,23.610001,23.209999,23.209999,18000,22.974766
2016-06-16,23.200001,23.48,22.549999,23.280001,100800,23.044058
