Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,5.75,5.79,5.73,5.78,423100,5.78
2017-02-02,5.72,5.80,5.70,5.73,1337000,5.73
2017-02-01,5.70,5.73,5.66,5.70,583200,5.70
2017-01-31,5.56,5.71,5.56,5.69,737100,5.69
2017-01-30,5.57,5.60,5.52,5.56,871700,5.56
2017-01-27,5.63,5.63,5.55,5.58,209000,5.58
2017-01-26,5.63,5.64,5.58,5.63,347600,5.604
2017-01-25,5.60,5.64,5.58,5.64,945800,5.614
2017-01-24,5.53,5.60,5.52,5.59,396800,5.564
2017-01-23,5.52,5.54,5.49,5.52,214300,5.495
2017-01-20,5.46,5.52,5.44,5.52,453500,5.495
2017-01-19,5.49,5.50,5.43,5.45,488600,5.425
2017-01-18,5.55,5.56,5.46,5.48,545500,5.455
2017-01-17,5.54,5.56,5.50,5.53,483100,5.504
2017-01-16,5.50,5.54,5.46,5.54,316900,5.514
2017-01-13,5.51,5.53,5.48,5.51,155700,5.485
2017-01-12,5.52,5.53,5.49,5.51,356000,5.485
2017-01-11,5.55,5.56,5.48,5.55,392000,5.524
2017-01-10,5.58,5.58,5.53,5.55,307200,5.524
2017-01-09,5.62,5.63,5.56,5.58,263200,5.554
2017-01-06,5.60,5.62,5.57,5.60,243600,5.574
2017-01-05,5.61,5.62,5.56,5.60,386400,5.574
2017-01-04,5.55,5.61,5.52,5.59,325400,5.564
2017-01-03,5.61,5.62,5.52,5.54,249600,5.514
2017-01-02,5.59,5.59,5.59,5.59,000,5.564
2016-12-30,5.58,5.61,5.49,5.59,453700,5.564
2016-12-29,5.50,5.58,5.50,5.58,237100,5.554
2016-12-28,5.50,5.52,5.46,5.51,230600,5.485
2016-12-27,5.49,5.49,5.49,5.49,000,5.439
2016-12-26,5.49,5.49,5.49,5.49,000,5.439
2016-12-23,5.50,5.53,5.46,5.49,186000,5.439
2016-12-22,5.48,5.51,5.44,5.50,310500,5.449
2016-12-21,5.45,5.52,5.44,5.50,376000,5.449
2016-12-20,5.39,5.435,5.39,5.43,480800,5.379
2016-12-19,5.30,5.41,5.30,5.39,910000,5.34
2016-12-16,5.34,5.39,5.26,5.26,3183500,5.211
2016-12-15,5.31,5.34,5.27,5.32,632500,5.27
2016-12-14,5.40,5.41,5.32,5.34,1220900,5.29
2016-12-13,5.41,5.43,5.365,5.39,885300,5.34
2016-12-12,5.40,5.415,5.38,5.40,329400,5.35
2016-12-09,5.40,5.41,5.37,5.40,265100,5.35
2016-12-08,5.36,5.39,5.33,5.39,313500,5.34
2016-12-07,5.34,5.37,5.32,5.35,338900,5.30
2016-12-06,5.29,5.35,5.27,5.34,615300,5.29
2016-12-05,5.34,5.35,5.26,5.29,478600,5.241
2016-12-02,5.31,5.35,5.31,5.33,453300,5.28
2016-12-01,5.32,5.32,5.255,5.31,538400,5.26
2016-11-30,5.25,5.33,5.22,5.32,1296800,5.27
2016-11-29,5.23,5.28,5.21,5.28,501900,5.231
2016-11-28,5.24,5.26,5.22,5.24,322000,5.191
2016-11-25,5.22,5.25,5.20,5.25,372700,5.175
2016-11-24,5.25,5.25,5.20,5.20,189400,5.126
2016-11-23,5.24,5.25,5.19,5.21,710400,5.136
2016-11-22,5.23,5.25,5.19,5.25,567600,5.175
2016-11-21,5.23,5.23,5.155,5.20,1278100,5.126
2016-11-18,5.14,5.16,5.11,5.14,559000,5.067
2016-11-17,5.03,5.12,5.025,5.09,1284500,5.018
2016-11-16,5.05,5.075,5.02,5.02,465700,4.949
2016-11-15,5.02,5.095,5.02,5.04,599900,4.968
2016-11-14,5.24,5.27,4.97,5.01,1836700,4.939
2016-11-11,5.25,5.295,5.21,5.25,777100,5.175
2016-11-10,5.31,5.34,5.25,5.26,577900,5.185
2016-11-09,5.25,5.34,5.235,5.33,484300,5.254
2016-11-08,5.35,5.36,5.31,5.34,655300,5.264
2016-11-07,5.35,5.40,5.34,5.34,777000,5.264
2016-11-04,5.40,5.41,5.37,5.38,375800,5.303
2016-11-03,5.37,5.41,5.35,5.41,538500,5.333
2016-11-02,5.41,5.41,5.34,5.38,611800,5.303
2016-11-01,5.40,5.43,5.38,5.41,1211900,5.333
2016-10-31,5.42,5.43,5.36,5.38,535400,5.303
2016-10-28,5.41,5.44,5.38,5.40,405900,5.323
2016-10-27,5.45,5.46,5.39,5.40,592500,5.323
2016-10-26,5.45,5.48,5.43,5.47,355900,5.366
2016-10-25,5.45,5.48,5.44,5.47,340400,5.366
2016-10-24,5.48,5.49,5.43,5.46,531300,5.357
2016-10-21,5.44,5.48,5.43,5.48,566100,5.376
2016-10-20,5.42,5.45,5.42,5.44,298300,5.337
2016-10-19,5.41,5.45,5.35,5.43,1410300,5.327
2016-10-18,5.40,5.44,5.39,5.41,774300,5.308
2016-10-17,5.37,5.41,5.36,5.39,759800,5.288
2016-10-14,5.35,5.41,5.34,5.35,1513200,5.249
2016-10-13,5.34,5.36,5.32,5.36,1166400,5.259
2016-10-12,5.32,5.35,5.28,5.35,1206200,5.249
2016-10-11,5.32,5.33,5.30,5.30,613500,5.20
2016-10-10,5.34,5.34,5.34,5.34,000,5.239
2016-10-07,5.33,5.34,5.30,5.34,477200,5.239
2016-10-06,5.26,5.34,5.25,5.34,1028800,5.239
2016-10-05,5.32,5.325,5.26,5.28,786800,5.18
2016-10-04,5.31,5.33,5.28,5.30,2342200,5.20
2016-10-03,5.52,5.54,5.39,5.54,721900,5.435
2016-09-30,5.60,5.62,5.51,5.51,630900,5.406
2016-09-29,5.61,5.64,5.57,5.63,272300,5.523
2016-09-28,5.68,5.68,5.575,5.63,339400,5.523
2016-09-27,5.59,5.64,5.57,5.64,320900,5.508
2016-09-26,5.62,5.64,5.56,5.60,347700,5.469
2016-09-23,5.65,5.66,5.61,5.62,350900,5.488
2016-09-22,5.65,5.67,5.62,5.64,340300,5.508
2016-09-21,5.64,5.64,5.54,5.62,362500,5.488
2016-09-20,5.60,5.64,5.565,5.63,376600,5.498
2016-09-19,5.53,5.61,5.50,5.58,364300,5.449
2016-09-16,5.51,5.55,5.46,5.52,4206800,5.391
2016-09-15,5.50,5.57,5.48,5.51,327700,5.381
2016-09-14,5.51,5.56,5.45,5.46,699200,5.332
2016-09-13,5.52,5.59,5.47,5.49,817900,5.361
2016-09-12,5.58,5.63,5.47,5.56,1315700,5.43
2016-09-09,5.77,5.77,5.57,5.60,777000,5.469
2016-09-08,5.74,5.80,5.72,5.76,1412200,5.625
2016-09-07,5.68,5.74,5.67,5.74,617300,5.605
2016-09-06,5.60,5.68,5.60,5.67,244300,5.537
2016-09-05,5.62,5.62,5.62,5.62,000,5.488
2016-09-02,5.50,5.62,5.50,5.62,785100,5.488
2016-09-01,5.50,5.51,5.45,5.48,492200,5.352
2016-08-31,5.54,5.55,5.47,5.50,441300,5.371
2016-08-30,5.60,5.61,5.53,5.53,416600,5.40
2016-08-29,5.65,5.72,5.58,5.60,810800,5.469
2016-08-26,5.67,5.73,5.59,5.65,757800,5.492
