Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,0.53,0.53,0.53,0.53,30000,0.53
2017-02-09,0.55,0.55,0.55,0.55,000,0.55
2017-02-08,0.55,0.55,0.55,0.55,20000,0.55
2017-02-07,0.56,0.56,0.56,0.56,000,0.56
2017-02-06,0.56,0.56,0.53,0.56,27500,0.56
2017-02-03,0.55,0.57,0.53,0.57,12000,0.57
2017-02-02,0.57,0.58,0.57,0.58,10500,0.58
2017-02-01,0.57,0.57,0.57,0.57,6000,0.57
2017-01-31,0.56,0.56,0.52,0.52,32000,0.52
2017-01-30,0.58,0.59,0.58,0.59,32000,0.59
2017-01-27,0.60,0.60,0.58,0.60,12500,0.60
2017-01-26,0.60,0.60,0.60,0.60,7000,0.60
2017-01-25,0.56,0.56,0.56,0.56,700,0.56
2017-01-24,0.58,0.60,0.58,0.58,39500,0.58
2017-01-23,0.59,0.60,0.59,0.60,20300,0.60
2017-01-20,0.60,0.60,0.60,0.60,9700,0.60
2017-01-19,0.59,0.59,0.59,0.59,1000,0.59
2017-01-18,0.59,0.59,0.59,0.59,000,0.59
2017-01-17,0.59,0.59,0.59,0.59,13300,0.59
2017-01-16,0.61,0.61,0.58,0.58,17000,0.58
2017-01-13,0.60,0.63,0.60,0.63,7700,0.63
2017-01-12,0.60,0.61,0.60,0.61,2900,0.61
2017-01-11,0.62,0.62,0.60,0.60,12300,0.60
2017-01-10,0.58,0.63,0.58,0.62,29000,0.62
2017-01-09,0.60,0.69,0.57,0.65,14000,0.65
2017-01-06,0.65,0.65,0.65,0.65,000,0.65
2017-01-05,0.65,0.65,0.65,0.65,000,0.65
2017-01-04,0.65,0.65,0.65,0.65,000,0.65
2017-01-03,0.65,0.65,0.65,0.65,000,0.65
2016-12-30,0.65,0.65,0.65,0.65,000,0.65
2016-12-29,0.61,0.65,0.61,0.65,15100,0.65
2016-12-28,0.56,0.63,0.55,0.57,17300,0.57
2016-12-23,0.59,0.59,0.59,0.59,600,0.59
2016-12-22,0.57,0.58,0.56,0.58,7500,0.58
2016-12-21,0.60,0.60,0.60,0.60,7500,0.60
2016-12-20,0.64,0.64,0.57,0.60,17000,0.60
2016-12-19,0.64,0.64,0.62,0.63,26000,0.63
2016-12-16,0.64,0.64,0.64,0.64,25000,0.64
2016-12-15,0.70,0.72,0.63,0.64,44200,0.64
2016-12-14,0.68,0.69,0.68,0.69,29000,0.69
2016-12-13,0.70,0.73,0.64,0.66,65500,0.66
2016-12-12,0.73,0.73,0.64,0.64,53000,0.64
2016-12-09,0.71,0.75,0.68,0.70,112000,0.70
2016-12-08,0.75,0.75,0.69,0.70,60200,0.70
2016-12-07,0.65,0.72,0.65,0.72,60000,0.72
2016-12-06,0.68,0.68,0.68,0.68,000,0.68
2016-12-05,0.67,0.68,0.67,0.68,11000,0.68
2016-12-02,0.65,0.65,0.64,0.64,4500,0.64
2016-12-01,0.72,0.72,0.69,0.69,5500,0.69
2016-11-30,0.70,0.70,0.67,0.70,16800,0.70
2016-11-29,0.66,0.70,0.66,0.68,50400,0.68
2016-11-28,0.59,0.64,0.59,0.64,2000,0.64
2016-11-25,0.64,0.66,0.64,0.66,25000,0.66
2016-11-24,0.67,0.69,0.62,0.62,16500,0.62
2016-11-23,0.67,0.67,0.64,0.65,64000,0.65
2016-11-22,0.68,0.69,0.61,0.69,186900,0.69
2016-11-21,0.70,0.70,0.65,0.68,35000,0.68
2016-11-18,0.63,0.66,0.63,0.65,52500,0.65
2016-11-17,0.61,0.63,0.61,0.62,40500,0.62
2016-11-16,0.58,0.74,0.58,0.65,304100,0.65
2016-11-15,0.73,0.73,0.58,0.58,70500,0.58
2016-11-14,0.75,0.77,0.73,0.73,27000,0.73
