Date,Open,High,Low,Close,Volume,Adj Close
2017-02-07,6.42,6.66,6.37,6.47,366300,6.47
2017-02-06,6.02,6.46,5.96,6.43,390600,6.43
2017-02-03,5.72,5.94,5.72,5.94,267000,5.94
2017-02-02,6.02,6.04,5.72,5.72,366500,5.72
2017-02-01,5.66,5.94,5.66,5.89,290600,5.89
2017-01-31,5.80,5.80,5.67,5.74,237600,5.74
2017-01-30,5.71,5.88,5.63,5.64,184500,5.64
2017-01-27,5.55,5.69,5.51,5.67,128100,5.67
2017-01-26,5.52,5.64,5.41,5.54,203800,5.54
2017-01-25,5.72,5.72,5.49,5.66,231300,5.66
2017-01-24,5.90,5.96,5.65,5.72,244500,5.72
2017-01-23,5.95,6.03,5.84,5.91,224400,5.91
2017-01-20,5.83,6.00,5.69,5.87,318400,5.87
2017-01-19,5.69,5.86,5.60,5.77,204800,5.77
2017-01-18,5.87,5.98,5.66,5.75,283400,5.75
2017-01-17,6.07,6.08,5.77,5.88,350400,5.88
2017-01-16,5.75,5.92,5.65,5.92,204200,5.92
2017-01-13,5.61,5.79,5.52,5.63,263800,5.63
2017-01-12,5.88,5.92,5.57,5.62,367400,5.62
2017-01-11,5.68,5.85,5.54,5.76,386500,5.76
2017-01-10,5.73,5.96,5.66,5.71,337500,5.71
2017-01-09,5.66,5.93,5.56,5.66,581600,5.66
2017-01-06,5.78,5.89,5.35,5.49,534500,5.49
2017-01-05,5.73,5.91,5.69,5.90,416000,5.90
2017-01-04,5.68,5.68,5.44,5.57,394600,5.57
2017-01-03,5.28,5.60,5.25,5.60,342600,5.60
2016-12-30,5.61,5.71,5.23,5.27,464500,5.27
2016-12-29,5.13,5.60,5.11,5.55,519600,5.55
2016-12-28,4.77,5.13,4.75,5.13,300000,5.13
2016-12-23,4.65,4.71,4.58,4.68,176000,4.68
2016-12-22,4.50,4.65,4.50,4.60,209800,4.60
2016-12-21,4.57,4.64,4.48,4.50,412800,4.50
2016-12-20,4.35,4.58,4.29,4.54,378300,4.54
2016-12-19,4.50,4.54,4.40,4.46,321500,4.46
2016-12-16,4.54,4.69,4.38,4.41,1649200,4.41
2016-12-15,4.56,4.71,4.45,4.49,550700,4.49
2016-12-14,5.00,5.15,4.78,4.79,740900,4.79
2016-12-13,4.94,5.00,4.85,4.94,223700,4.94
2016-12-12,5.06,5.13,4.90,4.96,367400,4.96
2016-12-09,5.28,5.28,4.98,5.05,249800,5.05
2016-12-08,5.27,5.33,5.25,5.31,162700,5.31
2016-12-07,5.28,5.45,5.22,5.28,278500,5.28
2016-12-06,5.20,5.35,5.15,5.18,298700,5.18
2016-12-05,5.12,5.32,5.02,5.23,369300,5.23
2016-12-02,5.12,5.34,5.02,5.20,486500,5.20
2016-12-01,4.93,5.13,4.83,4.97,385900,4.97
2016-11-30,5.02,5.03,4.88,4.97,219400,4.97
2016-11-29,5.03,5.07,4.98,5.04,248700,5.04
2016-11-28,5.00,5.13,4.90,5.11,261600,5.11
2016-11-25,4.98,5.09,4.90,4.91,175000,4.91
2016-11-24,4.92,4.97,4.90,4.94,81500,4.94
2016-11-23,4.96,5.06,4.85,4.97,597700,4.97
2016-11-22,5.19,5.23,5.00,5.22,403300,5.22
2016-11-21,5.13,5.24,5.08,5.17,289600,5.17
